id,url,title,views,likes,comments,shares,score
7191230651218103557,https://www.tiktok.com/@_lukasmax/video/7191230651218103557,Replying to @higorsilva7315 sei que cê me quer tbm! ✨ #carjams #dubsm...,36300,2520,10,48,8.507542
7421161097845034246,https://www.tiktok.com/@_lukasmax/video/7421161097845034246,direto no meu coracao! #carjams #dubsmash #vibedodia #traducao #musica ,39300,2379,3,18,8.498444
7269147234262928646,https://www.tiktok.com/@_lukasmax/video/7269147234262928646,🛩️ #carjams #dubsmash #letras #traducao #musica ,51700,1439,9,29,8.497718
7141837836159913221,https://www.tiktok.com/@_lukasmax/video/7141837836159913221,"E se eu te amei, eu peço perdão.  Eu não sou santo não… ✨ @jao #carja...",34000,2481,8,81,8.496282
7299936810812067077,https://www.tiktok.com/@_lukasmax/video/7299936810812067077,nem ao menos pra dizer ✨ #carjams #dubsmash #musica #vibedodia ,32400,2560,32,50,8.475313
7178130085227089158,https://www.tiktok.com/@_lukasmax/video/7178130085227089158,Finalmente achei um homem que presta! ✨ #carjams #dubsmash #musica #l...,41900,1644,5,81,8.465099
7177848994901560581,https://www.tiktok.com/@_lukasmax/video/7177848994901560581,Wake me UP! ✨ #carjams #dubsmash #musica #letras #traducao ,39100,1876,13,68,8.461494
7307722417466658054,https://www.tiktok.com/@_lukasmax/video/7307722417466658054,os seus problemas a gente tem que resolver! ✨ #carjams #dubsmash #mus...,34100,2226,6,39,8.425865
7307407042505968901,https://www.tiktok.com/@_lukasmax/video/7307407042505968901,vai passa mal ✨ #carjams #dubsmash #musica #vibedodia ,35600,2136,11,26,8.423335
7138139410851237125,https://www.tiktok.com/@_lukasmax/video/7138139410851237125,Diz ae quem faz sua pupila dilatar!?  👉🏻 ✨ @ANAVITÓRIA  #musica #dubs...,33400,2156,1,60,8.419604
7271653231976238341,https://www.tiktok.com/@_lukasmax/video/7271653231976238341,entao eu rezei ✨ #carjams #letras #traducao #dubsmash #vibedodia ,46900,1224,9,39,8.41173
7250562695643090181,https://www.tiktok.com/@_lukasmax/video/7250562695643090181,Só quero ter uma boa noite ✨ #carjams #letras #traducao #dubsmash #vi...,39400,1737,6,27,8.403808
7143355557309730054,https://www.tiktok.com/@_lukasmax/video/7143355557309730054,"Replying to @vitorsehenen Bem nos olhos vejo os montros, que insistem...",30800,2092,19,76,8.39491
7142976551632522501,https://www.tiktok.com/@_lukasmax/video/7142976551632522501,Então VSF! ✨ @jao #dubsmash #carjams #musica #letras ,29100,2249,14,74,8.392406
7174901199286619397,https://www.tiktok.com/@_lukasmax/video/7174901199286619397,Replying to @angelicaanjo16 Toda nossa juventude corre pelas veias! ✨...,33400,1952,26,47,8.387641
7301710295242738950,https://www.tiktok.com/@_lukasmax/video/7301710295242738950,"posso parecer doido, mas nao liga nao ✨ #carjams #dubsmash #musica #v...",31300,2200,10,32,8.378954
7322112548835249413,https://www.tiktok.com/@_lukasmax/video/7322112548835249413,Indique a musica que você quer aqui nos comentários! 🙏🏻 #carjams #dub...,28500,2221,21,64,8.374343
7158935824845901062,https://www.tiktok.com/@_lukasmax/video/7158935824845901062,Te digo te amo e você disfarça com essa cara de… ✨ ##carjams##dubsmas...,30300,2099,17,59,8.373808
7191464495028407558,https://www.tiktok.com/@_lukasmax/video/7191464495028407558,o mundo gira e não para! @bomtalvao ✨ #carjams #dubsmash #musica #let...,38000,1577,13,33,8.365245
7191113045370866950,https://www.tiktok.com/@_lukasmax/video/7191113045370866950,"Comecei a chorar, mas aí lembrei: ✨ #carjams #dubsmash #musica #letra...",31100,1897,12,70,8.357813
7134350801010527493,https://www.tiktok.com/@_lukasmax/video/7134350801010527493,Essa eu fiz pra vc! 🫵🏻✨ @JÃO  #carjams #music #lirycs #foryou #pravoce ,29100,2081,11,66,8.35607
7163772825461853446,https://www.tiktok.com/@_lukasmax/video/7163772825461853446,Não conta pra sua mãe 🤫 #carjams #dubsmash #legenda #letras #tradução ,34100,1780,3,44,8.352904
7297224616420936966,https://www.tiktok.com/@_lukasmax/video/7297224616420936966,querido nos somos os novos românticos ✨ #carjams #dubsmash #musica #v...,27700,2298,9,25,8.336104
7201160205030198534,https://www.tiktok.com/@_lukasmax/video/7201160205030198534,cadê os planos que fizemos para dois? 😢 #carjams #dubsmash #musica #l...,29800,1877,12,59,8.325204
7136201908049546502,https://www.tiktok.com/@_lukasmax/video/7136201908049546502,Mostra toda sua habilidade! ✨ ##carjams##dubsmash##bagunca##musica##l...,32500,1749,6,33,8.315321
7170086072884481285,https://www.tiktok.com/@_lukasmax/video/7170086072884481285,"Quanto mais eu bebo, mais eu fico só @JÃO ✨ #carjams #dubsmash #music...",34100,1533,10,41,8.307627
7162615373861309702,https://www.tiktok.com/@_lukasmax/video/7162615373861309702,"me liga, talvez? ✨ #carjams #dubsmash #legenda #tradução #letras ",32100,1710,7,33,8.302462
7188558137861868806,https://www.tiktok.com/@_lukasmax/video/7188558137861868806,Foge comigo a meia noite! ✨ #carjams #dubsmash #musica #letras ,33400,1616,5,22,8.291856
7167116432512126214,https://www.tiktok.com/@_lukasmax/video/7167116432512126214,Será que só eu amo essa música? 🤔🤷‍♂️#carjams #dubsmash #traducao #mu...,35400,1418,8,29,8.290209
7167768730431294726,https://www.tiktok.com/@_lukasmax/video/7167768730431294726,teeelll meee!!! ✨ #carjams #dubsmash #traducao #musica #letras ,34600,1377,7,43,8.283795
7168191740644510982,https://www.tiktok.com/@_lukasmax/video/7168191740644510982,Lema de todos os dias! ✨ #carjams #dubsmash #traducao #musica #letras ,34100,1217,7,64,8.264705
7196016732249607430,https://www.tiktok.com/@_lukasmax/video/7196016732249607430,Se ele quiser eu piso onde ninguém pisou! ✨ #carjams #dubsmash #music...,29800,1433,7,85,8.263271
7141472042238397701,https://www.tiktok.com/@_lukasmax/video/7141472042238397701,Aí meu DEUSSSS! ✨🔥 @JÃO #musica #letras ,28100,1729,14,46,8.259667
7152570422100380933,https://www.tiktok.com/@_lukasmax/video/7152570422100380933,Quando não souber o que pedir… ✨ #carjams #dubsmash #legenda #musica ...,29900,1530,10,55,8.256116
7164905866431319301,https://www.tiktok.com/@_lukasmax/video/7164905866431319301,"Se você quer, precisa me falar! ✨#carjams #dubsmash #traducao #musica...",33000,1426,11,23,8.251242
7224277261007080710,https://www.tiktok.com/@_lukasmax/video/7224277261007080710,Eu sou o problema mesmo 💔 #carjams #dubsmash #musica #traducao #letras ,32200,1417,8,32,8.24449
7142103407187266821,https://www.tiktok.com/@_lukasmax/video/7142103407187266821,Eu não te amo mas espera até o beat! 🤪 @jao #carjams #musica #letras ...,27700,1631,7,51,8.234396
7175969785203756293,https://www.tiktok.com/@_lukasmax/video/7175969785203756293,"nem tento fingir, não vou voltar atrás ✨ #carjams #dubsmash #musica #...",34800,1092,7,45,8.226024
7173003204223978758,https://www.tiktok.com/@_lukasmax/video/7173003204223978758,Esse era o nosso canto! Eu achei primeiro! ✨ #carjams  #dubsmash #mus...,30900,1409,6,30,8.218427
7157345301458652422,https://www.tiktok.com/@_lukasmax/video/7157345301458652422,Eu vou até o fim! ✨ #carjams #dubsmash #legenda #musica #letras ,30200,1397,8,40,8.216486
7302491748859792646,https://www.tiktok.com/@_lukasmax/video/7302491748859792646,sonhando com o que poderíamos ser ✨ #traducao #carjams #dubsmash #mus...,25300,1806,4,33,8.208645
7140646724183297286,https://www.tiktok.com/@_lukasmax/video/7140646724183297286,Minha vida é um inferno… (complete) ✨ #dubsmash #carjams #musica #let...,30000,1210,4,70,8.202441
7339284278716501254,https://www.tiktok.com/@_lukasmax/video/7339284278716501254,só voce pode sentir isso! #carjams #dubsmash #musica #vibedodia #trad...,26400,1639,7,36,8.19829
7178503899534429446,https://www.tiktok.com/@_lukasmax/video/7178503899534429446,Trago seu amor de volta ✨ #carjams #dubsmash #musica #letras ,35800,895,6,38,8.182016
7135803985977429254,https://www.tiktok.com/@_lukasmax/video/7135803985977429254,O melhor presente Deus me Deu! 🎵#carjams #dubsmash #letras #cbj #musica ,25900,1464,10,52,8.170989
7196416586423586054,https://www.tiktok.com/@_lukasmax/video/7196416586423586054,#carjams #dubsmash #musica #letras ,29000,1288,4,26,8.152711
7322475731206851846,https://www.tiktok.com/@_lukasmax/video/7322475731206851846,De 0 a 100 quanto essa musica é red flag? 🚩#carjams #dubsmash #musica...,17400,1968,38,55,8.144721
7132085000597622022,https://www.tiktok.com/@_lukasmax/video/7132085000597622022,Voce me deixa Louquinho! 🤪 #carjams #singing #lyrics #jao #music  @JÃO,21900,1644,10,47,8.130206
7140011618393476358,https://www.tiktok.com/@_lukasmax/video/7140011618393476358,Eu sei bem! 🤪,24600,1277,5,74,8.126316
7292420764903558405,https://www.tiktok.com/@_lukasmax/video/7292420764903558405,olhe pra dentro ✨ #carjams #dubsmash #musica #vibedodia #traducao ,24500,1279,12,45,8.095682
7313246185358118149,https://www.tiktok.com/@_lukasmax/video/7313246185358118149,💔 #carjams #dubsmash #musica #vibedodia #traducao ,21800,1506,11,32,8.079805
7164145793434225925,https://www.tiktok.com/@_lukasmax/video/7164145793434225925,Indicando essa aqui que não é muito conhecida mas eu amo!✨ #carjams #...,26900,978,6,54,8.073055
7199270963299503365,https://www.tiktok.com/@_lukasmax/video/7199270963299503365,Replying to @lorenzaluz1 me desculpa por não ser o que eu queria ser ...,30200,887,7,26,8.070608
7157683298905443590,https://www.tiktok.com/@_lukasmax/video/7157683298905443590,Eu sei que você me adora! ✨ #carjams #dubsmash #legenda #musica #letras ,25600,1038,10,46,8.056272
7167505737214643462,https://www.tiktok.com/@_lukasmax/video/7167505737214643462,"Garota, bota um croped! ✨ #carjams #dubsmash #traducao #musica #letras ",29500,892,3,20,8.046742
7295018100062276870,https://www.tiktok.com/@_lukasmax/video/7295018100062276870,amo ✨ #carjams #dubsmash #musica #vibedodia #traducao ,21400,1335,17,32,8.033823
7321095904071666949,https://www.tiktok.com/@_lukasmax/video/7321095904071666949,é... voltei! #carjams #dubsmash #musica #vibedodia #traducao ,20400,1526,11,11,8.029516
7153620771036728582,https://www.tiktok.com/@_lukasmax/video/7153620771036728582,Sei que a vida seria uma droga sem você ✨ #carjams #dubsmash #legenda...,25500,1056,7,23,8.025362
7134747160419093765,https://www.tiktok.com/@_lukasmax/video/7134747160419093765,Meu adolescente grita! @zac_efronn #carjams #dubsmash #highschoolmusi...,23100,1240,10,18,8.021673
7373295250850254086,https://www.tiktok.com/@_lukasmax/video/7373295250850254086,ele me disse que me amaria a vida toda... #carjams #dubsmash #musica ...,18300,1557,7,33,8.01613
7211529562176392454,https://www.tiktok.com/@_lukasmax/video/7211529562176392454,Estou pronto pra ser! 💕 @TWICE #carjams #dubsmash #traducao #letras ,28800,782,4,15,7.990907
7258399863820389637,https://www.tiktok.com/@_lukasmax/video/7258399863820389637,Eu sei que você quer me levar pra casa. ✨ #carjams #letras #traducao ...,32100,654,6,6,7.990456
7179348516119088389,https://www.tiktok.com/@_lukasmax/video/7179348516119088389,Vc sempre volta porque sabe que é pra mim! ✨ #carjams #dubsmash #musi...,30900,676,2,8,7.976654
7201494354500881669,https://www.tiktok.com/@_lukasmax/video/7201494354500881669,meu guilty pleasure é kpop!  continuo? #carjams #dubsmash #musica #le...,28000,770,6,12,7.968074
7159684077078056198,https://www.tiktok.com/@_lukasmax/video/7159684077078056198,É o que você é! ✨ #carjams #dubsmash #legenda #musica #letras ,24200,932,4,23,7.959019
7134012101462428934,https://www.tiktok.com/@_lukasmax/video/7134012101462428934,Category bad b*tch 💅🏻 #beyonce  #carjam #dubsmash #singing #lirycs ,20800,1081,10,24,7.934441
7195668255682333957,https://www.tiktok.com/@_lukasmax/video/7195668255682333957,seja bem vindo a minha canção de auto-sabotagem! ✨ #carjams #dubsmash...,25900,709,8,18,7.916218
7165516573455764741,https://www.tiktok.com/@_lukasmax/video/7165516573455764741,Lide com isso! ✨ #carjams #dubsmash #traducao #musica #letras ,27300,690,3,9,7.915498
7151775320650157318,https://www.tiktok.com/@_lukasmax/video/7151775320650157318,E não preciso de você hoje a noite ✨ #carjams #legenda #musica #dubsm...,22100,890,6,19,7.893912
7135101876692929798,https://www.tiktok.com/@_lukasmax/video/7135101876692929798,Eu quero ver vc dormir com esse BARULHOO! @iza #carjams #dubsmash #li...,22800,802,1,13,7.8643
7196307953824156933,https://www.tiktok.com/@_lukasmax/video/7196307953824156933,Replying to @lorenzaluz1 pô* isso acaba comigo! ✨ #carjams #dubsmash ...,26600,580,4,11,7.860719
7429111489337806086,https://www.tiktok.com/@_lukasmax/video/7429111489337806086,aham aham #carjams #dubsmash #vibedodia #traducao #musica @ROSÉ @Brun...,16500,1210,6,18,7.853121
7148499567690976518,https://www.tiktok.com/@_lukasmax/video/7148499567690976518,Hoje tô romântico ✨ #carjams #dubsmash #letras #musica ,21700,671,4,26,7.816519
